learning_rate,batch_size,epochs,best_epoch,validation_accuracy,validation_macro_f1
3e-05,16,3,3,0.942914371557336,0.9181945894365389
2e-05,16,3,3,0.9384076114171257,0.9134093516188262
2e-05,32,3,2,0.9339008512769154,0.9120741489014274
5e-05,16,3,3,0.9364046069103655,0.9105955669022127
