learning_rate,batch_size,epochs,best_epoch,validation_accuracy,validation_macro_f1
5e-05,16,3,3,0.9419128693039559,0.9146805352990022
2e-05,16,3,2,0.9384076114171257,0.9134849124382468
3e-05,16,3,3,0.9389083625438157,0.9126418101644229
2e-05,32,3,2,0.9349023535302955,0.9108434844458819
