model,accuracy,macro_f1
Linear SVM,0.897,0.8536
BERT,0.931,0.8909368874167063
DistilBERT,0.932,0.8892578389529197
LSTM,0.9035,0.8659199109401724
GRU,0.906,0.8570172088406545
